evPostcode,evAreaScore,District
SE28,D,GREENWICH
KT19,D,KINGSTON.UPON.THAMES
DA8,D,BEXLEY
UB7,D,HILLINGDON
UB3,D,HILLINGDON
DA18,D,BEXLEY
UB4,D,HILLINGDON
EN3,D,ENFIELD
RM10,C-,BARKING.AND.DAGENHAM
IG11,C-,NEWHAM
CR6,C-,CROYDON
RM8,C-,BARKING.AND.DAGENHAM
DA1,C-,BEXLEY
RM9,C-,BARKING.AND.DAGENHAM
DA17,C-,BEXLEY
N18,C-,ENFIELD
CR3,C-,CROYDON
WD3,C-,HILLINGDON
IG7,C-,REDBRIDGE
SE2,C-,BEXLEY
EN8,C-,ENFIELD
RM3,C-,HAVERING
N9,C-,ENFIELD
KT9,C-,KINGSTON.UPON.THAMES
UB5,C-,EALING
RM7,C-,HAVERING
DA16,C-,BEXLEY
TW13,C-,HOUNSLOW
N17,C-,HARINGEY
E6,C-,NEWHAM
E3,C-,TOWER.HAMLETS
CR4,C-,MERTON
UB8,C-,HILLINGDON
TW14,C-,HOUNSLOW
DA6,C-,BEXLEY
UB9,C-,HILLINGDON
KT4,C,SUTTON
SM4,C,MERTON
RM6,C,REDBRIDGE
E7,C,WALTHAM.FOREST
RM5,C,HAVERING
E4,C,WALTHAM.FOREST
DA7,C,BEXLEY
E13,C,NEWHAM
E12,C,NEWHAM
DA15,C,BEXLEY
SE18,C,GREENWICH
E14,C,TOWER.HAMLETS
UB10,C,HILLINGDON
SE25,C,CROYDON
UB2,C,EALING
NW9,C,BRENT
EN1,C,ENFIELD
SM3,C,SUTTON
HA3,C,BRENT
TW4,C,HOUNSLOW
RM12,C,HAVERING
CR0,C,CROYDON
SM1,C,SUTTON
BR5,C,BROMLEY
DA14,C,BEXLEY
RM13,C,HAVERING
E17,C,WALTHAM.FOREST
CR5,C,CROYDON
SM5,C,SUTTON
SE8,C,LEWISHAM
HA2,C,HARROW
HA4,C,HILLINGDON
CR7,C,CROYDON
IG9,C,REDBRIDGE
IG3,C,REDBRIDGE
RM1,C,HAVERING
RM2,C,HAVERING
E16,C,NEWHAM
IG6,C,REDBRIDGE
RM11,C,HAVERING
TW5,C,HOUNSLOW
HA8,C,BARNET
SE6,C,LEWISHAM
RM4,C,HAVERING
SE9,C,GREENWICH
SE16,C,SOUTHWARK
UB6,C,EALING
IG1,C,REDBRIDGE
BR2,C,BROMLEY
N1C,C,CAMDEN
NW10,C,BRENT
IG5,C,REDBRIDGE
KT17,C,SUTTON
SM6,C,SUTTON
HA9,C,BRENT
SE12,C,LEWISHAM
SE7,C,GREENWICH
E1,C,TOWER.HAMLETS
E10,C,WALTHAM.FOREST
TN16,C,BROMLEY
DA5,C,BEXLEY
IG2,C,REDBRIDGE
HA0,C,BRENT
BR1,C,BROMLEY
NA,C,#N/A
N15,C,HARINGEY
E2,C,TOWER.HAMLETS
CR2,C,CROYDON
SE14,C,LEWISHAM
UB1,C,EALING
E5,C,HACKNEY
EN2,C,ENFIELD
TW8,C+,HOUNSLOW
NW7,C+,BARNET
E9,C+,TOWER.HAMLETS
N21,C+,ENFIELD
E1W,C+,TOWER.HAMLETS
E15,C+,NEWHAM
CR8,C+,CROYDON
SE26,C+,LEWISHAM
SE20,C+,BROMLEY
N22,C+,HARINGEY
SE15,C+,SOUTHWARK
W3,C+,EALING
N14,C+,ENFIELD
W7,C+,EALING
SM2,C+,SUTTON
HA1,C+,HARROW
KT3,C+,KINGSTON.UPON.THAMES
EN4,C+,ENFIELD
SE19,C+,LAMBETH
HA7,C+,HARROW
N13,C+,ENFIELD
SE4,C+,LEWISHAM
IG8,C+,REDBRIDGE
IG4,C+,REDBRIDGE
N11,C+,ENFIELD
BR4,C+,BROMLEY
KT2,C+,KINGSTON.UPON.THAMES
SW16,C+,LAMBETH
TW7,C+,HOUNSLOW
SE27,C+,LAMBETH
SE10,C+,GREENWICH
SE3,C+,GREENWICH
NW2,C+,BARNET
KT5,C+,KINGSTON.UPON.THAMES
SE13,C+,LEWISHAM
SE5,C+,SOUTHWARK
HA5,C+,HARROW
SE23,C+,LEWISHAM
N20,C+,BARNET
SW9,C+,LAMBETH
HA6,C+,HILLINGDON
